stop_reason,stops,success,yield,contraband_discoveries
29180(D)(1) PC - SELL/TRANSFER MFG FIREARM (M) 52676,2,0,0.0,0
602.9(B) PC - ENTER RES W/O OWNER CNSNT (M) 32115 | 602.9(B) PC - ENTER RES W/O OWNER CNSNT (M) 32115,2,0,0.0,0
25257(A) VC - FLSH RED SGNL LT SCHL BUS (I) 66476,2,0,0.0,0
451(D) PC - ARSON:PROPERTY (F) 20036 | 451(D) PC - ARSON:PROPERTY (F) 20036 | 451(D) PC - ARSON:PROPERTY (F) 20036,2,0,0.0,0
3000.08 PC - VIOLATION OF PAROLE (X) 50181,2,0,0.0,0
21457(B) VC - CARE REQ: FLASH YEL LGHT (I) 54985,2,0,0.0,0
290.018(A) PC - SEX OFFENDER FAIL REG/ETC (M) 36238,2,0,0.0,0
647(J)(3)(A) PC - VIDEO/PHOTO BED/BTHRM/ETC (M) 57090,2,0,0.0,0
489 PC - GRAND THEFT (F) 23025,2,0,0.0,0
459 PC - BURGLARY:FIRST DEGREE (F) 22021 | 459 PC - BURGLARY:FIRST DEGREE (F) 22021 | 459 PC - BURGLARY:FIRST DEGREE (F) 22021,2,0,0.0,0
594.1(D) PC - POSS SPRAY PAINT:POSTED (M) 29100 | 594.1(D) PC - POSS SPRAY PAINT:POSTED (M) 29100,2,0,0.0,0
21463 VC - ILLEGAL OPERATION SIGNALS (I) 54988,2,0,0.0,0
171D(A) PC - LOADED GUN:ST OFCR RESDNC (F) 52383,2,0,0.0,0
243.2(A)(1) PC - BATT ON PRSN:SCH/HOSP/ETC (M) 13198 | 243.2(A)(1) PC - BATT ON PRSN:SCH/HOSP/ETC (M) 13198,2,0,0.0,0
487(B)(1)(A) PC - GRAND THFT FOWL/FRUIT/ETC (M) 23228,2,0,0.0,0
35550(A) VC - VEH EXCEED WT LIMIT:1 AXL (M) 54126,2,0,0.0,0
266 PC - ENTICE MNR FOR PROST/ETC (F) 40056,2,0,0.0,0
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081,2,0,0.0,0
417(A)(2)(B) PC - EXHBT F/ARM THRTNG MANNER (M) 52687 | 417(A)(2)(B) PC - EXHBT F/ARM THRTNG MANNER (M) 52687 | 417(A)(2)(B) PC - EXHBT F/ARM THRTNG MANNER (M) 52687,2,0,0.0,0
21655.9(C) VC - DRIVE AUTO W/0 HOV DECAL (M) 54637,2,0,0.0,0
14 4357 CA - OPERATE VEHICLE W/O LIC (I) 62206,2,0,0.0,0
244.5(B) PC - ASLT W/STUN GUN/LL WEAPON (F) 13210,2,0,0.0,0
23153(G) VC - DUI ALC/DRUG:CAUS BOD INJ (M) 42120,2,0,0.0,0
25252.5(A) VC - UNAUTH USE FLSH EMERG LMP (I) 66472,2,0,0.0,0
2800.1(B) VC - INTENT EVADE PO BICYCLE (M) 48144,2,0,0.0,0
290 PC - REGISTRATION OF SEX OFNDR (X) 89005,2,0,0.0,0
397 PC - FURN LIQUOR DRUNKARD/ETC (M) 41114 | 397 PC - FURN LIQUOR DRUNKARD/ETC (M) 41114,2,0,0.0,0
415(2) PC - UNREASONABLE NOISE (M) 53073 | 415(2) PC - UNREASONABLE NOISE (M) 53073 | 415(2) PC - UNREASONABLE NOISE (M) 53073,2,0,0.0,0
780 IC - MISREP INSURANCE POLICIES (M) 31207,2,0,0.0,0
36 261.11(D) US - FEDERAL REGULATION:LITTER (M) 55218,2,0,0.0,0
308(B) PC - FL TO POST TOBAC NTC REQ (I) 8046,2,0,0.0,0
24604(B) VC - FLAG LOAD PROJECTING VIOL (I) 66435,2,0,0.0,0
16457 VC - DRIVE W/O PROOF INS FILED (I) 54934,2,0,0.0,0
241/243 PC - ASLT/BATT PEACE OFR/ETC (M) 13077 | 241/243 PC - ASLT/BATT PEACE OFR/ETC (M) 13077,2,0,0.0,0
537(A) PC - DEFRAUD INNKEEPER -$950 (M) 26726 | 537(A) PC - DEFRAUD INNKEEPER -$950 (M) 26726,2,0,0.0,0
25251.2 VC - MTRCYCL MOD HDLMP VIOL (I) 66471,2,0,0.0,0
23140(A) VC - MINOR DRIVE W/BAC 0.05 (I) 54139,2,0,0.0,0
148.10(A) PC - RESIST PO:CAUSE DEATH/SBI (F) 48089,2,0,0.0,0
602(T)(1) PC - TRESP FEL REF LV PRVT PRP (M) 32144 | 602(T)(1) PC - TRESP FEL REF LV PRVT PRP (M) 32144,2,0,0.0,0
422.6(A) PC - VIO CIVIL RGHTS:FRCE/THRT (M) 56022 | 422.6(A) PC - VIO CIVIL RGHTS:FRCE/THRT (M) 56022,2,0,0.0,0
417(C) PC - EXHIB/ETC F/ARM:PO PRESNT (M) 52303 | 417(C) PC - EXHIB/ETC F/ARM:PO PRESNT (M) 52303,2,0,0.0,0
35406(B) VC - FRONT PROJECTION VIOL (I) 66823,2,0,0.0,0
417(C) PC - EXHIBIT FIREARM PRES PO (F) 52200 | 417(C) PC - EXHIBIT FIREARM PRES PO (F) 52200,2,0,0.0,0
14 4658 CA - CA:OPR BOAT EXCESS SPEED (M) 62161,2,0,0.0,0
602(Q) PC - TRESPASS:REF LV PUB BLG (M) 32106 | 602(Q) PC - TRESPASS:REF LV PUB BLG (M) 32106 | 602(Q) PC - TRESPASS:REF LV PUB BLG (M) 32106,2,0,0.0,0
243(C)(2) PC - BATTERY AGAINST PO (M) 13200,2,0,0.0,0
1026.4(A) PC - ESCAPE:MENTAL FACILTY/ETC (F) 49078,2,0,0.0,0
23105(A) VC - RECKLESS DRIVING:SPEC INJ (M) 54565,2,0,0.0,0
18720 PC - MAK DSTRCT DEVC W/O PERMT (F) 52588,2,0,0.0,0
415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029 | 415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029 | 415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029,2,0,0.0,0
10 885 US - DESERTION (F) 2052 | 10 885 US - DESERTION (F) 2052,2,0,0.0,0
10802 VC - ALTER/ETC VEHICLE ID NBR (F) 26307,2,0,0.0,0
368(E)(2) PC - THFT ELDER BY CRTKR -$950 (M) 28050,2,0,0.0,0
21113(A)(1) VC - TRESP W/VEH ETC:PUB GRNDS (I) 66937,2,0,0.0,0
23331 VC - UNAUTH USE VEH X PEDESTRN (I) 66373,2,0,0.0,0
1218(A) CP - CONTEMPT OF COURT (M) 50169,2,0,0.0,0
663 WI - WARRANT OF ARREST:MINOR (X) 8030 | 663 WI - WARRANT OF ARREST:MINOR (X) 8030,2,0,0.0,0
14 29.15(E) CA - CA REG:ABALONE:WRONG GEAR (M) 62098,2,0,0.0,0
14601.2(B) VC - DRIVE:RESTRICTED LIC:DUI (M) 54082,2,0,0.0,0
602(J) PC - TRESPASS:BUILD FIRES (M) 32094 | 602(J) PC - TRESPASS:BUILD FIRES (M) 32094,2,0,0.0,0
242 PC - BAT W/SERIOUS BODILY INJ (M) 13179 | 242 PC - BAT W/SERIOUS BODILY INJ (M) 13179,2,0,0.0,0
245.5(A) PC - ADW/GBI SCHL EMP:NO F/ARM (F) 13139,2,0,0.0,0
23109.1(A) VC - ILLEGAL SPEED CONTEST:INJ (F) 66961,2,0,0.0,0
23153(F) VC - DUI DRUG:CAUSE BODILY INJ (M) 42118,2,0,0.0,0
273D(A) PC - CORPORAL INJ/ETC ON CHILD (M) 38098 | 273D(A) PC - CORPORAL INJ/ETC ON CHILD (M) 38098,2,0,0.0,0
314.1 PC - INDECENT EXPOSURE W/PRIOR (F) 36056 | 314.1 PC - INDECENT EXPOSURE W/PRIOR (F) 36056,2,0,0.0,0
602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080 | 602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080 | 602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080,2,0,0.0,0
10655 VC - FL MAINT RCRD STORED VEH (I) 54831,2,0,0.0,0
14603 VC - OPR VEH:VIOL LIC RESTRCTN (I) 54150,2,0,0.0,0
122335(B) HS - TETHER/ETC DOG (I) 55264,2,0,0.0,0
27800 VC - UNLAW PASSENGER MTRCYCLE (I) 66646,2,0,0.0,0
640(C)(3)(A) PC - MISUSE/ETC TRNS SYS TIKET (I) 26624,2,0,0.0,0
25612.5(C)(7) BP - UNOBSTRUCTED VIEW FOR LEP (M) 41075,2,0,0.0,0
148.9(A) PC - GIVE FALSE ID TO PO (M) 47014 | 148.9(A) PC - GIVE FALSE ID TO PO (M) 47014,2,0,0.0,0
25608.1 BP - NO ALC BEV:OPEN/CLSD:SPEC (I) 41079,2,0,0.0,0
21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178 | 21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178,2,0,0.0,0
1551(A) PC - FUGITIVE FRM JUST:WAR ARR (F) 49059 | 1551(A) PC - FUGITIVE FRM JUST:WAR ARR (F) 49059,2,0,0.0,0
21215.2(A) VC - ALC BEVERAGE PEDICAB (I) 54954,2,0,0.0,0
23120 VC - GLASSES OBSTRCT SIDE VIEW (I) 66354,2,0,0.0,0
100 PC - COLLSN SUPERINT ST PRNTNG (F) 50197,2,0,0.0,0
21701 VC - INTERFERE W/DRIVER CNTL (I) 54364,2,0,0.0,0
21235(E) VC - OPR MOTR SCOOTR W/PASSNGR (I) 54639,2,0,0.0,0
29800(A)(3) PC - POSS/ETC F/ARM W/WARRANT (F) 52839,2,0,0.0,0
487F PC - PETTY THEFT DOG -$950 (M) 23247,2,0,0.0,0
1332(B) PC - WIT FAIL COMPLY COURT ORD (X) 50140,2,0,0.0,0
243(C)(1) PC - BATTERY PO/ETC W/INJURY (F) 13240,2,0,0.0,0
484(A) PC - THEFT (M) 23099 | 484(A) PC - THEFT (M) 23099 | 484(A) PC - THEFT (M) 23099,2,0,0.0,0
640(C)(2) PC - MISUSE PASS/ETC TRNST PR (M) 66219,2,0,0.0,0
36 261.11(B) US - FR:POS/LEAVE UNSANI LITER (M) 62085,2,0,0.0,0
21712(C) VC - PERMIT RIDING TRUNK VEH (I) 66253,2,0,0.0,0
452(D) PC - CAUSING FIRE OF PROPERTY (M) 20033 | 452(D) PC - CAUSING FIRE OF PROPERTY (M) 20033,2,0,0.0,0
11156 HS - GIVE CNTL SUB TO ADDICT (F) 35105,2,0,0.0,0
11375(B)(1) HS - POSS F/SALE DES CNTL SUB (M) 35426,2,0,0.0,0
21215(A) VC - PEDICAB FL FOLLOW REQ (I) 54953,2,0,0.0,0
166(A)(5) PC - CONTEMPT:RESIST ORDER/ETC (M) 50107,2,0,0.0,0
29825(A) PC - PURCH/ETC F/ARM PROT ORD (F) 52775,2,0,0.0,0
14602.6(G)(4) VC - RLS IMPOUND VEH VIOL REQ (M) 54896,2,0,0.0,0
14 4355 CA - C/REG:OP/ETC VEH OFF ROAD (M) 62122,2,0,0.0,0
27317(A) VC - SEL/ETC PREV DEPLOY AIRBG (I) 66986,2,0,0.0,0
415.5(A)(3) PC - OFFENSIVE WORDS UNIV/ETC (M) 33030 | 415.5(A)(3) PC - OFFENSIVE WORDS UNIV/ETC (M) 33030,2,0,0.0,0
273.65(A) PC - VIOL PROT ORDER W/MINOR (M) 38099,2,0,0.0,0
273A(A) PC - CHLD ABUSE W/POSS GBI/DTH (M) 38097,2,0,0.0,0
20010 VC - VEH PASSENGER FL RPRT ACC (I) 54939,2,0,0.0,0
496E PC - BUY/REC STOLEN FIREHYDRNT (M) 28042,2,0,0.0,0
242 PC - BAT EMERGENCY PERSON/ETC (F) 13183 | 242 PC - BAT EMERGENCY PERSON/ETC (F) 13183,2,0,0.0,0
11736(C) VC - FL REFUND PURCH MNY DEMND (M) 31415 | 11736(C) VC - FL REFUND PURCH MNY DEMND (M) 31415,2,0,0.0,0
25(A) VC - DISPLAY UNAUTH DMV SIGN (I) 48164,2,0,0.0,0
24607(C) VC - REAR RFLCTR VIOL VISIBLTY (I) 66439,2,0,0.0,0
647(A) PC - SOLICIT LEWD ACT IN PUBLC (M) 36328 | 647(A) PC - SOLICIT LEWD ACT IN PUBLC (M) 36328,2,0,0.0,0
10980(G)(1) WI - FOOD STAMP PROGRAM VIOL (M) 26194,2,0,0.0,0
647.6 PC - ANNOY/MOLEST CHILD-18YRS (F) 36280,2,0,0.0,0
25651 VC - MOTORCYCLE HEADLAMP VIOL (I) 54230,2,0,0.0,0
21113(A)(1) VC - TRESP W/VEH ETC:PUB GRNDS (I) 66937 | 21113(A)(1) VC - TRESP W/VEH ETC:PUB GRNDS (I) 66937,2,0,0.0,0
21227(B) VC - OPR UNLAW MOTORZED SCOOTR (I) 54959,2,0,0.0,0
640.6(B)(1) PC - GRAFITI:DAMAGE -$250:W/PR (M) 66151,2,0,0.0,0
602.5(A) PC - UNAUTH ENTRY OF DWELLING (M) 32134 | 602.5(A) PC - UNAUTH ENTRY OF DWELLING (M) 32134,2,0,0.0,0
36 4.12 US - FR:TRAFFIC CNTL DEVCE VIO (M) 4032,2,0,0.0,0
24404(A) VC - SPOTLAMPS NUM/WATT VIOL (I) 66417,2,0,0.0,0
632.7(A) PC - RECORD/ETC PHONE COMMUN (F) 57082,2,0,0.0,0
602(F) PC - TRESPASS:DAMAGE SIGN (M) 32028 | 602(F) PC - TRESPASS:DAMAGE SIGN (M) 32028 | 602(F) PC - TRESPASS:DAMAGE SIGN (M) 32028,2,0,0.0,0
273D(A) PC - CORPORAL INJ/ETC ON CHILD (F) 38093,2,0,0.0,0
246 PC - SHOOT:INHAB DWELL/VEH/ETC (F) 13106 | 246 PC - SHOOT:INHAB DWELL/VEH/ETC (F) 13106 | 246 PC - SHOOT:INHAB DWELL/VEH/ETC (F) 13106,2,0,0.0,0
21464(A) VC - INJ TRAFFIC CNTRL DVC DTH (F) 54990,2,0,0.0,0
640.5(A)(1) PC - GRAFFITI ON GOVT/ETC PROP (I) 66120,2,0,0.0,0
453(A) PC - POSS FLAM MTRL/DVC ARSON (M) 20066,2,0,0.0,0
207(C) PC - KIDNAP: FRC/ETC OUT OF ST (F) 10032 | 207(C) PC - KIDNAP: FRC/ETC OUT OF ST (F) 10032,2,0,0.0,0
601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118 | 601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118 | 601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118,2,0,0.0,0
451(E) PC - ARSON:WHILE CONFINED (F) 20050,2,0,0.0,0
12814.6(B)(1)(B) VC - PROV LIC:NO PASNGR -20YRS (I) 54563,2,0,0.0,0
602(W) PC - TRESP BATTRD WMN SHELTER (M) 32121,2,0,0.0,0
602(F) PC - TRESPASS:DAMAGE SIGN (M) 32028 | 602(F) PC - TRESPASS:DAMAGE SIGN (M) 32028,2,0,0.0,0
451.1(A) PC - ARSON:SENTENCE ENHANCEMNT (F) 20061,2,0,0.0,0
236.1(A) PC - HUMAN TRAFFICKING/LABOR (F) 56037,2,0,0.0,0
243.2(A)(1) PC - BATT ON PRSN:SCH/HOSP/ETC (M) 13198,2,0,0.0,0
12016 BP - HINDER/OBSTRUCT SEALER (M) 31275,2,0,0.0,0
777 WI - MOD COURT ORD:COMMIT/PROB (X) 8023 | 777 WI - MOD COURT ORD:COMMIT/PROB (X) 8023,2,0,0.0,0
23332 VC - TRESPAS NON-PUB VEH CROSS (M) 54124,2,0,0.0,0
148.10(A) PC - RESIST PO:CAUSE DEATH/SBI (M) 48138,2,0,0.0,0
13386(B)(1) VC - FURN IGNITION LOCK INFO (I) 31438,2,0,0.0,0
271 PC - DSRT W/INT TO ABANDON -14 (M) 38086,2,0,0.0,0
24405(A) VC - NUMBER LAMPS ALLWD VIOL (I) 66421,2,0,0.0,0
23152(F) VC - DUI ANY DRUG W/PR (F) 66362 | 23152(F) VC - DUI ANY DRUG W/PR (F) 66362 | 23152(F) VC - DUI ANY DRUG W/PR (F) 66362,1,1,1.0,1
29800(B) PC - CONV JUV POSS/ETC F/ARM (F) 52774,1,1,1.0,1
288.2(A)(1) PC - HRMFL MTR SENT INT/SX MNR (F) 37120 | 288.2(A)(1) PC - HRMFL MTR SENT INT/SX MNR (F) 37120,1,1,1.0,1
261(A)(1) PC - RAPE:VICT INCPBL OF CNSNT (F) 11054 | 261(A)(1) PC - RAPE:VICT INCPBL OF CNSNT (F) 11054 | 261(A)(1) PC - RAPE:VICT INCPBL OF CNSNT (F) 11054,1,1,1.0,1
38301(A) VC - UNLAWFUL VIOLATE SPEC REG (I) 54575,1,1,1.0,0
71(A)(1) PC - THRTN SCHOOL/PUB OFCR/EMP (F) 33080 | 71(A)(1) PC - THRTN SCHOOL/PUB OFCR/EMP (F) 33080,1,1,1.0,1
11383.7(A) HS - POSS W/INT/KNOW:MFG METH (F) 35414,1,1,1.0,1
21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098 | 21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098 | 21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098,1,1,1.0,1
244.5(B) PC - ASLT W/STUN GUN/LL WPN (M) 13211 | 244.5(B) PC - ASLT W/STUN GUN/LL WPN (M) 13211,1,1,1.0,1
470(D) PC - FALSE CHECKS/REC/CERT/ETC (M) 25087,1,1,1.0,1
602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102,1,1,1.0,1
457.1(H) PC - FAIL REG:ARSON OFFENDER (M) 20047,1,1,1.0,1
11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154 | 11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154 | 11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154,1,1,1.0,1
286(C)(2)(B) PC - SODOMY BY FORCE/VIOL -14 (F) 36284,1,1,1.0,1
146(A) PC - MAKE ARREST/ETC W/O AUTH (M) 44045 | 146(A) PC - MAKE ARREST/ETC W/O AUTH (M) 44045,1,1,1.0,1
266H(B)(1) PC - PIMPING:PROSTITUTE 16+ (F) 40042 | 266H(B)(1) PC - PIMPING:PROSTITUTE 16+ (F) 40042,1,1,1.0,1
11350(B) HS - POSSESS MECLOQUALONE/ETC (M) 35398,1,1,1.0,1
211 PC - ROBBERY:SECOND DEGREE (F) 12018 | 211 PC - ROBBERY:SECOND DEGREE (F) 12018,1,1,1.0,1
288.4(A)(1) PC - ARRANGE MTG W/MINOR (M) 36212,1,1,1.0,1
314(1) PC - IND EXP ILL ENT OCC DWELL (F) 36346 | 314(1) PC - IND EXP ILL ENT OCC DWELL (F) 36346,1,1,1.0,1
245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095,1,1,1.0,1
21810 PC - MFG/SALE/ETC METAL KNUCKL (M) 52537 | 21810 PC - MFG/SALE/ETC METAL KNUCKL (M) 52537,1,1,1.0,1
36 2.30(A)(5) US - FR:POSS KNOW STOLEN PROP (M) 4021 | 36 2.30(A)(5) US - FR:POSS KNOW STOLEN PROP (M) 4021,1,1,1.0,1
71(A)(1) PC - THRTN SCHOOL/PUB OFCR/EMP (M) 33081,1,1,1.0,1
25100(C) PC - CRIM STORE F/ARM:3RD DEG (M) 52639,1,1,1.0,1
25400(A)(2) PC - CCW ON PERSON (F) 52475 | 25400(A)(2) PC - CCW ON PERSON (F) 52475 | 25400(A)(2) PC - CCW ON PERSON (F) 52475 | 25400(A)(2) PC - CCW ON PERSON (F) 52475,1,1,1.0,1
18 113(A)(6) US - ASSAULT RESULTING IN SBI (F) 13216 | 18 113(A)(6) US - ASSAULT RESULTING IN SBI (F) 13216 | 18 113(A)(6) US - ASSAULT RESULTING IN SBI (F) 13216 | 18 113(A)(6) US - ASSAULT RESULTING IN SBI (F) 13216,1,1,1.0,1
21310 PC - CARRY CON/DIRK OR DAGGER (M) 52565 | 21310 PC - CARRY CON/DIRK OR DAGGER (M) 52565 | 21310 PC - CARRY CON/DIRK OR DAGGER (M) 52565,1,1,1.0,0
11379(B) HS - TRANSP/ETC F/SALE C/SUB (F) 35295,1,1,1.0,1
11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152 | 11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152 | 11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152,1,1,1.0,1
466 PC - POSSESS BURGLARY TOOLS (M) 22012 | 466 PC - POSSESS BURGLARY TOOLS (M) 22012,1,1,1.0,1
777 WI - MOD COURT ORD:COMMIT/PROB (X) 8023,1,1,1.0,1
76(A) PC - THRTN PUB OFFICIAL W/PR (F) 16051,1,1,1.0,1
186.22(A) PC - PARTICIPATE:CRIME ST GANG (M) 66107,1,1,1.0,1
496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025,1,1,1.0,1
11366.7(B) HS - SELL DRUG/ETC:ILL MFG/ETC (F) 35344 | 11366.7(B) HS - SELL DRUG/ETC:ILL MFG/ETC (F) 35344,1,1,1.0,1
20001(A) VC - HIT AND RUN:INJURY/DEATH (M) 54539 | 20001(A) VC - HIT AND RUN:INJURY/DEATH (M) 54539,1,1,1.0,1
171B(A)(5) PC - POS/ETC TAZER/STUNGUN:BLD (M) 52305,1,1,1.0,1
23152(F) VC - DUI ANY DRUG W/PR (F) 66362 | 23152(F) VC - DUI ANY DRUG W/PR (F) 66362,1,1,1.0,1
626.10(A)(1) PC - POSS WEAPON AT SCHL K-12 (M) 33077 | 626.10(A)(1) PC - POSS WEAPON AT SCHL K-12 (M) 33077,1,1,1.0,1
211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004,1,1,1.0,1
187(A) PC - MURDER:FIRST DEGREE (F) 9154 | 187(A) PC - MURDER:FIRST DEGREE (F) 9154 | 187(A) PC - MURDER:FIRST DEGREE (F) 9154,1,1,1.0,1
17510(A)(2) PC - CARRY LDED F/ARM PICKETNG (M) 52784 | 17510(A)(2) PC - CARRY LDED F/ARM PICKETNG (M) 52784,1,1,1.0,0
626.10(A)(1) PC - POSS WEAPON AT SCHL K-12 (M) 33077,1,1,1.0,1
666.1(A)(1) PC - PETTY THFT W/2+PRIORS (F) 23287 | 666.1(A)(1) PC - PETTY THFT W/2+PRIORS (F) 23287,1,1,1.0,1
148(D) PC - ATT REM/ETC PO/ETC F/ARM (M) 48124 | 148(D) PC - ATT REM/ETC PO/ETC F/ARM (M) 48124 | 148(D) PC - ATT REM/ETC PO/ETC F/ARM (M) 48124,1,1,1.0,1
487(C) PC - GRAND THEFT FROM PERSON (F) 23133 | 487(C) PC - GRAND THEFT FROM PERSON (F) 23133 | 487(C) PC - GRAND THEFT FROM PERSON (F) 23133,1,1,1.0,1
11395(B)(1) HS - POSS CNTL SUB W/2+PRS (F) 35030,1,1,1.0,1
23152(F) VC - DUI ANY DRUG (M) 42116 | 23152(F) VC - DUI ANY DRUG (M) 42116 | 23152(F) VC - DUI ANY DRUG (M) 42116,1,1,1.0,1
368(E)(1) PC - THFT ELDER BY CRTKR $950+ (F) 28049,1,1,1.0,1
25400(A)(1) CC - FLS APPRNC EFF TRANS (F) 26407,1,1,1.0,1
244.5(B) PC - ASLT W/STUN GUN/LL WPN (M) 13211,1,1,1.0,1
487B PC - GRAND THFT CONVRT RL PROP (F) 23245 | 487B PC - GRAND THFT CONVRT RL PROP (F) 23245 | 487B PC - GRAND THFT CONVRT RL PROP (F) 23245,1,1,1.0,1
11395(B)(1) HS - POSS CNTL SUB W/2+PRS (M) 35014,1,1,1.0,1
29650 PC - MINOR ILL POSS LIVE AMMO (F) 52502,1,1,1.0,1
29820(B) PC - POSS F/ARM BY JUV WRD -30 (F) 52780 | 29820(B) PC - POSS F/ARM BY JUV WRD -30 (F) 52780,1,1,1.0,1
11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423 | 11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423 | 11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423 | 11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423,1,1,1.0,1
417.3 PC - EXH F/ARM PRES VEH OCCUPT (F) 52175,1,1,1.0,1
23109(D) VC - BLOCK/ETC RD:SPEED CONTES (M) 54219,1,1,1.0,1
236.1(B) PC - HMN TRFK TO CMT OTHR CRIM (F) 56047 | 236.1(B) PC - HMN TRFK TO CMT OTHR CRIM (F) 56047,1,1,1.0,1
417(B) PC - EXH LOADED F/ARM:DAY CARE (F) 52199 | 417(B) PC - EXH LOADED F/ARM:DAY CARE (F) 52199,1,1,1.0,1
484(A)/490.5 PC - THFT/PTY THFT MERCHANDISE (M) 23089,1,1,1.0,1
422.6(B) PC - DAMAGE PROP:VIO CIVL RGHT (M) 56021,1,1,1.0,1
470(A) PC - FORGERY (M) 25130,1,1,1.0,1
171.7(B) PC - POSS WPN STERIL TRNST FAC (M) 52681,1,1,1.0,1
10852.5(A) VC - PURCH USED CAT CONV VIOL (I) 31398,1,1,1.0,1
647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005 | 647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005 | 647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005 | 647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005,1,1,1.0,1
273A(A) PC - CHLD ABUSE W/POSS GBI/DTH (M) 38097 | 273A(A) PC - CHLD ABUSE W/POSS GBI/DTH (M) 38097,1,1,1.0,1
23109(C) VC - AIDE/ABET SPEED EXHIBITN (M) 54218 | 23109(C) VC - AIDE/ABET SPEED EXHIBITN (M) 54218,1,1,1.0,1
487(A) PC - GRDTHFT:MONEY/LABOR/PROP (M) 23157 | 487(A) PC - GRDTHFT:MONEY/LABOR/PROP (M) 23157 | 487(A) PC - GRDTHFT:MONEY/LABOR/PROP (M) 23157,1,1,1.0,1
496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025 | 496(A) PC - REC KNWN STOLN PROP (F) 28025,1,1,1.0,1
777(A)(2) WI - FL OBEY ORD JUV CRT:602WI (M) 8039,1,1,1.0,1
29610(A) PC - MNR POSS HANDGUN W/PR (F) 52850,1,1,1.0,1
647(B)(1) PC - SOLICT/ENGAG PROSTITUTION (M) 40060 | 647(B)(1) PC - SOLICT/ENGAG PROSTITUTION (M) 40060 | 647(B)(1) PC - SOLICT/ENGAG PROSTITUTION (M) 40060,1,1,1.0,1
11418.5(A) PC - THREAT/ETC W/WPN MAS DEST (F) 16023 | 11418.5(A) PC - THREAT/ETC W/WPN MAS DEST (F) 16023 | 11418.5(A) PC - THREAT/ETC W/WPN MAS DEST (F) 16023,1,1,1.0,1
20170(A) PC - DISPLAY IN PUB:IMT F/ARM (I) 52623 | 20170(A) PC - DISPLAY IN PUB:IMT F/ARM (I) 52623,1,1,1.0,1
